epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14051.1,1.46122,0.7132,0.96927,0.86453,0.64238,0.71284,0.38706,1.37067,0.60834,0.97613,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14463.9,1.45303,0.70327,0.96598,0.86264,0.64082,0.71142,0.38436,1.37019,0.60189,0.97412,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14875.5,1.45989,0.70517,0.9671,0.86094,0.64153,0.71194,0.38591,1.36591,0.60146,0.97537,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15286.9,1.4607,0.70119,0.96235,0.86535,0.64299,0.71503,0.38781,1.36526,0.60289,0.97498,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15699,1.44608,0.69647,0.96264,0.86695,0.64557,0.71667,0.38997,1.36326,0.59903,0.97382,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16113.6,1.4467,0.69676,0.96183,0.8596,0.64486,0.71352,0.38827,1.36271,0.59765,0.97267,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16525.6,1.4426,0.69361,0.96209,0.86326,0.64386,0.71436,0.38774,1.36057,0.59719,0.97122,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16937.8,1.44055,0.68904,0.95981,0.86701,0.64373,0.71616,0.38916,1.35939,0.59524,0.96872,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17349,1.44016,0.6835,0.9568,0.86604,0.64665,0.71657,0.39001,1.36041,0.59252,0.97024,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17763.2,1.44212,0.68555,0.9545,0.86572,0.6457,0.71725,0.39232,1.35683,0.58953,0.97037,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18173.8,1.43177,0.67983,0.95581,0.86792,0.64771,0.72015,0.39321,1.35573,0.58768,0.96956,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18588.6,1.43955,0.68309,0.95758,0.86655,0.64966,0.72079,0.39405,1.3535,0.58778,0.97067,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19006.2,1.44592,0.68188,0.95484,0.86702,0.65033,0.722,0.39409,1.35421,0.5869,0.97124,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19422.9,1.43033,0.68121,0.95631,0.8661,0.65145,0.72236,0.39381,1.35246,0.5849,0.97097,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19867.6,1.4281,0.67551,0.9516,0.86703,0.6515,0.7233,0.39505,1.35369,0.58209,0.97011,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20297.3,1.42141,0.66742,0.95561,0.8687,0.64976,0.72254,0.39538,1.35303,0.58221,0.97032,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20708.9,1.4123,0.66849,0.9523,0.87242,0.64971,0.72434,0.39615,1.35104,0.58089,0.96856,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21120,1.43203,0.67324,0.95277,0.87229,0.65067,0.72595,0.39645,1.3514,0.58039,0.96945,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21535.4,1.41826,0.66907,0.95029,0.86869,0.65204,0.72479,0.39653,1.34987,0.57928,0.96886,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21949.2,1.43079,0.67009,0.94938,0.86739,0.65406,0.72598,0.39723,1.34932,0.57959,0.96723,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22362.4,1.41667,0.66623,0.94835,0.86601,0.65571,0.72616,0.3974,1.34787,0.57912,0.96755,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22773.5,1.41831,0.66401,0.94776,0.86698,0.65507,0.72559,0.39761,1.34946,0.57914,0.96876,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,23186.5,1.40517,0.65779,0.9481,0.86647,0.65626,0.72565,0.39735,1.34936,0.57813,0.96867,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23600.2,1.41353,0.65811,0.94362,0.86876,0.65654,0.72691,0.39787,1.34883,0.57703,0.96806,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,24014.1,1.40675,0.65555,0.94638,0.86519,0.6582,0.72661,0.39859,1.34845,0.57686,0.96814,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24430.3,1.40736,0.65616,0.94695,0.86916,0.65628,0.72723,0.39882,1.34947,0.57659,0.96859,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24841.4,1.39791,0.6501,0.9442,0.86856,0.65722,0.7269,0.39906,1.34887,0.57615,0.96869,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25255.6,1.40077,0.65064,0.94443,0.86954,0.65797,0.72782,0.39923,1.35002,0.57607,0.96906,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25666.4,1.38897,0.64533,0.94472,0.86861,0.65866,0.72791,0.39917,1.35001,0.57527,0.96939,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,26081.1,1.39103,0.64495,0.94271,0.87072,0.65843,0.72885,0.39978,1.35076,0.57441,0.96919,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26497.3,1.39044,0.64444,0.9395,0.86805,0.66033,0.72861,0.39981,1.35054,0.57297,0.96862,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26909.3,1.38582,0.64253,0.9389,0.86648,0.66096,0.72916,0.40002,1.35048,0.57256,0.96828,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27319.6,1.37735,0.63641,0.94012,0.86668,0.6603,0.72914,0.40045,1.3492,0.57142,0.96791,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27735,1.39206,0.63982,0.9355,0.86767,0.65979,0.72875,0.40059,1.34964,0.57148,0.96813,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
